Top consultas,Cliques,Impressões,CTR,Posição
tabela ipca,0,6,0%,67.83
cdi 2021,0,6,0%,69
quanto está o cdi,0,6,0%,69.33
taxa de cdi hoje,0,6,0%,70
taxa cdi mensal,0,6,0%,70.17
qual o valor do cdi,0,6,0%,77
juros selic,0,6,0%,77.5
indice do inpc,0,6,0%,84.83
indice cdi,0,6,0%,88.83
tr taxa referencial atual abril 2026,0,5,0%,6
cdi taxa atual abril 2026 brasil,0,5,0%,6.4
incc últimos 10 anos,0,5,0%,6.6
selic acumulada abril 2026,0,5,0%,7.2
cdi acumulado 2026 abril,0,5,0%,8.4
"taxa cdi hoje abril 2026 14,7%",0,5,0%,8.4
tr taxa referencial hoje 2026,0,5,0%,9.4
taxa tr atual 2026 brasil,0,5,0%,9.8
cdi atual hoje 2026,0,5,0%,10
cdi acumulado 12 meses abril 2026 brasil,0,5,0%,10.4
cdi abril 2026 taxa mensal,0,5,0%,10.8
inpc histórico,0,5,0%,16.2
grafico tabela fipe,0,5,0%,22.4
inpc acumulado,0,5,0%,44.4
tabela índice igp-m,0,5,0%,47.2
tabela igp-m,0,5,0%,50
igpm fevereiro 2026,0,5,0%,55.2
cdi abril 2025,0,5,0%,56
indice de igpm,0,5,0%,59.8
indice igpm 2022,0,5,0%,60.6
cdi 12 meses,0,5,0%,60.8
tabela cdi,0,5,0%,63.8
taxa selic tabela,0,5,0%,67.2
qual valor do cdi hoje,0,5,0%,67.8
cdi 2024,0,5,0%,68.6
indice cdi mensal,0,5,0%,71
igpm janeiro 2026,0,5,0%,71.6
cdi brasil,0,5,0%,75.2
índice ipca,0,5,0%,76.8
taxa de cdi,0,5,0%,84.8
sgs 4189 meta selic,0,4,0%,5.5
incc dos últimos 10 anos,0,4,0%,7.25
cdi acumulado 2026 ytd,0,4,0%,7.5
taxa cdi atual brasil abril 2026,0,4,0%,7.5
sgs 4189 selic meta,0,4,0%,7.75
"cdi hoje abril 2026 14,65",0,4,0%,8
valor tr atual brasil 2026,0,4,0%,8.25
taxa referencial tr acumulada 12 meses abril 2026,0,4,0%,8.5
sgs 4390 selic acumulada no mês,0,4,0%,9
cdi anual abril 2026 brasil,0,4,0%,10.25
cdi taxa 2026 brasil atual,0,4,0%,10.75
incc-m abril 2026,0,4,0%,11
"taxa cdi hoje abril 2026 14,65",0,4,0%,11
taxa referencial tr maio 2026 banco central,0,4,0%,11.25
taxa referencial tr valor atual 2026,0,4,0%,11.25
tr maio 2026 banco central taxa referencial,0,4,0%,11.25
valor cdi abril 2026,0,4,0%,12
tabela cdi banco central,0,4,0%,31
igp-di acumulado 12 meses,0,4,0%,33
tabela igpm 2026,0,4,0%,41.25
tabela igp-di,0,4,0%,42
taxa tr hoje,0,4,0%,44
igpm 2020,0,4,0%,47.75
cdi abril,0,4,0%,49
evolução igp-m,0,4,0%,49.25
tabela da tr,0,4,0%,50.25
tabela igpm,0,4,0%,50.25
igpm mensal,0,4,0%,53.25
igp-di tabela,0,4,0%,53.5
tabela de igpm,0,4,0%,56
fipe ipc,0,4,0%,58.5
igp-m acumulado,0,4,0%,58.75
igp 10,0,4,0%,59.75
igp di,0,4,0%,62.25
ipca tabela,0,4,0%,62.25
cdi mes a mes,0,4,0%,63.25
valor da selic hoje,0,4,0%,65
série histórica selic,0,4,0%,65.5
selic hoje / taxa selic acumulada,0,4,0%,65.75
ipca brasil,0,4,0%,67.75
quanto vale o cdi hoje,0,4,0%,67.75
qual a taxa cdi hoje,0,4,0%,69.75
taxa cdi atual,0,4,0%,69.75
cdi acumulado 2025,0,4,0%,70
taxa selic atual,0,4,0%,71.5
indices de inflação,0,4,0%,73.25
igmp,0,4,0%,74
ipca-e,0,4,0%,75.25
rentabilidade cdi,0,4,0%,83
taxa tr,0,4,0%,88.25
"cdi anualizado abril 2026 14,65",0,3,0%,2
"taxa cdi anualizada abril 2026 14,65",0,3,0%,4.67
tr taxa referencial hoje abril 2026,0,3,0%,6.67
incc dos ultimos 10 anos,0,3,0%,7.33
taxa cdi hoje 2026 abril,0,3,0%,8.33
cdi acumulado abril 2026,0,3,0%,9
sgs 226 tr taxa referencial,0,3,0%,9
tr abril 2026 banco central taxa referencial,0,3,0%,9
cdi hoje abril 2026 percentual ao ano,0,3,0%,9.33
taxa tr atual 2026,0,3,0%,9.33
taxa referencial tr hoje maio 2026 valor,0,3,0%,9.67
cdi taxa anual abril 2026,0,3,0%,10
tr taxa referencial atual brasil 2026,0,3,0%,10
taxa cdi hoje abril 2026 percentual ao ano,0,3,0%,10.33
tr taxa referencial 2026 valor aproximado,0,3,0%,10.33
taxa cdi abril 2026 ao ano,0,3,0%,10.67
taxa cdi hoje brasil abril 2026,0,3,0%,10.67
incc m abril 2026,0,3,0%,11
taxa cdi anual atual abril 2026 brasil,0,3,0%,11.33
cdi abril 2026 taxa cdi abril 2026 brasil,0,3,0%,11.67
taxa cdi anualizada hoje abril 2026,0,3,0%,11.67
incc di acumulado 12 meses,0,3,0%,12.33
inpc atualizado hoje,0,3,0%,13
tabela incc di,0,3,0%,21.33
valor igpm,0,3,0%,44
taxa cdi hoje banco central,0,3,0%,45
igp di tabela,0,3,0%,46
inflacao hoje,0,3,0%,50.33
indice igpm,0,3,0%,51
valor da tr hoje,0,3,0%,51
igpm acumulado,0,3,0%,51.33
tabela igpm 2022,0,3,0%,51.67
inpc atual,0,3,0%,52
igpm acumulado 2022,0,3,0%,52.67
ipc-di,0,3,0%,53
indice do igpm,0,3,0%,54
taxa cdi hoje 2024,0,3,0%,54.67
igpm 2022,0,3,0%,55
cetip cdi acumulado,0,3,0%,57
igpm 2022 acumulado,0,3,0%,59
indice igp m,0,3,0%,59.33
selic hoje 2026,0,3,0%,59.33
tabela tr,0,3,0%,59.67
cdi hoje 2024,0,3,0%,60.67
taxa cdi 2024,0,3,0%,60.67
cdi tabela,0,3,0%,61
índice ipc-fipe,0,3,0%,61.33
cdi mensal hoje,0,3,0%,62
cdi hoje valor,0,3,0%,62.33
cdi junho,0,3,0%,62.67
cdi mensal banco central,0,3,0%,63.33
índice ipc fipe,0,3,0%,63.67
ipca e inpc,0,3,0%,64
taxa di ao ano,0,3,0%,64
taxa referencial 2024,0,3,0%,64
variação tr,0,3,0%,64.33
ipc da fipe,0,3,0%,64.67
selic tabela,0,3,0%,65.33
índice igp m,0,3,0%,65.33
tr mensal,0,3,0%,65.67
cdi 2020,0,3,0%,66.33
reajuste igpm 2026,0,3,0%,66.33
inpc 2022,0,3,0%,66.67
taxa atual cdi,0,3,0%,66.67
taxa cdi ao ano,0,3,0%,67.33
valor do cdi mensal,0,3,0%,67.67
ipca hoje valor,0,3,0%,68
valor taxa cdi,0,3,0%,68.67
valor selic hoje,0,3,0%,69
taxa ipca hoje,0,3,0%,69.33
indices ipca,0,3,0%,69.67
qual valor da tr,0,3,0%,69.67
quanto esta cdi,0,3,0%,70
cdi hoje taxa,0,3,0%,71
ipca mês a mês,0,3,0%,71.67
ipca igpm,0,3,0%,72
indice selic,0,3,0%,72.33
taxa de juros cdi,0,3,0%,72.33
inpc ou ipca,0,3,0%,73
tr juros,0,3,0%,73.33
índices de inflação,0,3,0%,73.67
juros selic hoje,0,3,0%,74
variação cdi,0,3,0%,74.33
qual a tr hoje,0,3,0%,75.33
valor inpc hoje,0,3,0%,75.67
taxa di atual,0,3,0%,76.33
quanto ta o cdi,0,3,0%,78
selic anual,0,3,0%,78.33
taxa selic hoje mensal,0,3,0%,79.33
taxa referencial tr,0,3,0%,85.33
indice igpdi,0,3,0%,89.67
índice inpc,0,3,0%,90.67
rendimento cdi mensal,0,3,0%,91
rendimento cdi hoje,0,3,0%,93
ecumenico,0,2,0%,1
cdi atual brasil abril 2026,0,2,0%,5
grafico incc,0,2,0%,6
taxa referencial tr atual maio 2026,0,2,0%,6
taxa tr atual maio 2026,0,2,0%,6.5
"taxa cdi 2026 14,9% ao ano",0,2,0%,7
tr hoje abril 2026 taxa referencial valor,0,2,0%,7
tr taxa referencial atual maio 2026 banco central,0,2,0%,7
selic cdi taxa atual abril 2026 brasil,0,2,0%,7.5
taxa cdi atual 2026,0,2,0%,7.5
"taxa cdi abril 2026 14,65% ao ano",0,2,0%,8
tr taxa referencial maio 2026 valor,0,2,0%,8
ipa acumulado,0,2,0%,8.5
"taxa cdi hoje abril 2026 14,9%",0,2,0%,8.5
"taxa cdi maio 2026 14,4% ao ano",0,2,0%,8.5
taxa referencial tr valor maio 2026,0,2,0%,8.5
taxa cdi abril 2026 anualizada,0,2,0%,9
taxa cdi anual abril 2026 brasil,0,2,0%,9
taxa cdi atual maio 2026 brasil,0,2,0%,9
"taxa cdi cetip 30/04/2026 14,40",0,2,0%,9
tr maio 2026 taxa referencial valor,0,2,0%,9
tr taxa referencial maio 2026 banco central,0,2,0%,9
valor atual taxa referencial tr brasil 2026,0,2,0%,9
cdi abril de 2026,0,2,0%,9.5
cdi hoje maio 2026 percentual ao ano,0,2,0%,9.5
qual o valor do cdi em abril de 2026,0,2,0%,9.5
"taxa cdi hoje abril 2026 10,65%",0,2,0%,9.5
taxa referencial tr maio 2026 acumulada mês,0,2,0%,9.5
"cdi abril 2026 14,65%",0,2,0%,10
"cdi acumulado 2020 2,76",0,2,0%,10
cdi hoje abril 2026 taxa anualizada,0,2,0%,10
cdi taxa abril 2026 brasil,0,2,0%,10
taxa cdi abril 2026 mensal,0,2,0%,10
taxa cdi abril 2026 percentual ao ano,0,2,0%,10
taxa selic acumulada abril 2026,0,2,0%,10
tr taxa referencial atual valor 2026,0,2,0%,10
"cetip cdi 2026 10,65",0,2,0%,10.5
cdi hoje taxa brasil 2026,0,2,0%,11
igpm 2026 tabela,0,2,0%,11
incc nos ultimos 10 anos,0,2,0%,11
tr mensal abril 2026 banco central,0,2,0%,11
cdi abril 2026 taxa anual brasil,0,2,0%,11.5
cdi abril 26,0,2,0%,11.5
indice de igpm abril 2026,0,2,0%,13
taxa cdi mensal abril 2026,0,2,0%,15
cdi mes de abril 2026,0,2,0%,20
igpm abril 2026,0,2,0%,24.5
ipca hj,0,2,0%,27.5
indicadores financeiros hoje,0,2,0%,37.5
igpm acumulado últimos 12 meses 2026,0,2,0%,38
incc 2026,0,2,0%,39.5
igp m tabela,0,2,0%,40.5
incc-m,0,2,0%,42
igp di acumulado 12 meses,0,2,0%,44
selic acumulada 12 meses,0,2,0%,44.5
cdi taxa atual brasil,0,2,0%,45.5
igp-10,0,2,0%,46
ipc hoje,0,2,0%,46
valor do incc m,0,2,0%,46.5
selic acumulado 12 meses,0,2,0%,47.5
cdi fevereiro,0,2,0%,48
igpm ultimos doze meses,0,2,0%,48.5
tr ultimos 12 meses,0,2,0%,48.5
igpm 2026,0,2,0%,49
cdi abril 2024,0,2,0%,49.5
igp di 12 meses,0,2,0%,49.5
cdi fevereiro 2025,0,2,0%,50
inflação hoje no brasil,0,2,0%,50
quanto está a tr hoje,0,2,0%,50
igpm março 2026,0,2,0%,50.5
indices fgv,0,2,0%,50.5
índice igpm,0,2,0%,51
cdi acumulado 2024,0,2,0%,52
cdi fevereiro 2024,0,2,0%,52
cdi atualizado hoje,0,2,0%,52.5
cdi novembro 2025,0,2,0%,54
tr acumulada,0,2,0%,54
cdi acumulado 2022,0,2,0%,54.5
cdi grafico,0,2,0%,55
cdi janeiro 2026,0,2,0%,55
ipca hpje,0,2,0%,55.5
tr histórico,0,2,0%,55.5
cdi 2025 acumulado,0,2,0%,56
cdi maio 2025,0,2,0%,57
cdi mensal histórico,0,2,0%,57
indices igpm,0,2,0%,57
ipca-e tabela,0,2,0%,57
taxa selic acumulada 12 meses,0,2,0%,57
tabela do igpm,0,2,0%,57.5
cdi histórico mensal,0,2,0%,58
correção da tr,0,2,0%,58
igpm acumulado 2026,0,2,0%,58
inpc acumulado hoje,0,2,0%,58.5
taxa tr atual,0,2,0%,58.5
quanto é a taxa referencial hoje,0,2,0%,59.5
cdi março 2025,0,2,0%,60
cdi taxa mensal brasil,0,2,0%,60.5
inpc 2021,0,2,0%,60.5
qual valor da taxa referencial hoje,0,2,0%,60.5
quanto ta valendo o cdi,0,2,0%,60.5
valor atual cdi,0,2,0%,60.5
cdi atualizado,0,2,0%,61
cdi março 2026,0,2,0%,61
inpc mes a mes,0,2,0%,61
valor cdi hoje 2025,0,2,0%,61
inflação brasil hoje,0,2,0%,61.5
qual valor da selic hoje,0,2,0%,61.5
cdi 2023,0,2,0%,63
cdi janeiro 2025,0,2,0%,63
tabela do ipca,0,2,0%,63
valor atual taxa selic,0,2,0%,63
cdi mensal 2025,0,2,0%,63.5
cdi taxa de juros,0,2,0%,64
igpm últimos 12 meses janeiro 2026,0,2,0%,64
inpc janeiro 2026,0,2,0%,64
taxa referencial atual,0,2,0%,64
cdi anual hoje,0,2,0%,64.5
valor do cdi atual,0,2,0%,64.5
cdi mensal 2024,0,2,0%,65
cotação cdi hoje,0,2,0%,65
inpc acumulado 2026,0,2,0%,65
indice cdi hoje,0,2,0%,65.5
taxa di ano,0,2,0%,66
taxa di cetip,0,2,0%,66
valor da taxa selic atual,0,2,0%,66
qual o valor do ipca,0,2,0%,66.5
qual é a taxa cdi hoje,0,2,0%,66.5
taxa de juros cdi hoje,0,2,0%,66.5
cdi taxa atual,0,2,0%,67
inpc maio,0,2,0%,67
qual é o ipca hoje,0,2,0%,67
taxa de juros selic acumulada mensalmente,0,2,0%,67
valor do inpc hoje,0,2,0%,67
taxa do cdi atual,0,2,0%,67.5
taxa tr 2025,0,2,0%,67.5
cdi hoje ao mes,0,2,0%,68
taxa atual da selic,0,2,0%,68
diferença entre inpc e ipca,0,2,0%,68.5
qual o valor da tr,0,2,0%,68.5
cdi taxa mensal,0,2,0%,69
grafico cdi,0,2,0%,69
juros cdi hoje,0,2,0%,69
tabela selic,0,2,0%,69
cdi hoje mensal,0,2,0%,69.5
tr março 2025,0,2,0%,69.5
indexador tr,0,2,0%,70
quanto esta a taxa cdi hoje,0,2,0%,70
cotação cdi,0,2,0%,70.5
juros do cdi hoje,0,2,0%,70.5
quanto está a taxa do cdi hoje,0,2,0%,70.5
cdi mes,0,2,0%,71
ipca indice,0,2,0%,71
taxa selic mes a mes,0,2,0%,71
valor cdi mensal,0,2,0%,71
índice igp-m,0,2,0%,71
índices econômicos,0,2,0%,71
cdi agora,0,2,0%,71.5
selic ao ano,0,2,0%,72
igpm acumulado janeiro 2026,0,2,0%,72.5
igpm de janeiro de 2026,0,2,0%,72.5
portalbrasil ipca,0,2,0%,73
indice incc di,0,2,0%,73.5
inpc agosto,0,2,0%,73.5
qual a taxa de cdi hoje,0,2,0%,73.5
qual cdi hoje,0,2,0%,73.5
qual o valor da taxa do cdi hoje,0,2,0%,74
quanto ta a taxa do cdi hoje,0,2,0%,74
indice fipe,0,2,0%,74.5
ipc di,0,2,0%,74.5
valor tr,0,2,0%,75
variação inpc,0,2,0%,75
tabela taxa selic,0,2,0%,75.5
indice ipca,0,2,0%,76
inpc e ipca,0,2,0%,76
selic 2022,0,2,0%,76
cdi oje,0,2,0%,76.5
qual a taxa do cdi,0,2,0%,77
taxa de juros selic,0,2,0%,77.5
cdi diário,0,2,0%,78
selic acumulado 2025,0,2,0%,78
inpc e ipca diferença,0,2,0%,79
portal brasil ipca,0,2,0%,80.5
taxa do cdi ao ano,0,2,0%,81
ipca e,0,2,0%,83
taxa selic anual,0,2,0%,87.5
selic 2024,0,2,0%,89
inccm,0,1,0%,1
cdi acumulado 12 meses 2026,0,1,0%,3
"taxa cdi abril 2025 10,65",0,1,0%,3
taxa cdi mensal atual 2026,0,1,0%,4
tr taxa referencial 2026 valor,0,1,0%,4
"cdi abril 2026 14,65% ao ano",0,1,0%,5
tr taxa referencial atual maio 2026,0,1,0%,5
"cdi anualizado abril 2026 14,65%",0,1,0%,6
incc media ultimos 10 anos,0,1,0%,6
cdi acumulado 2026 taxa atual brasil,0,1,0%,7
cdi taxa atual brasil abril 2026,0,1,0%,7
imagens,0,1,0%,7
taxa cdi acumulada abril 2026 brasil,0,1,0%,7
taxa referencial tr atual 2026 banco central abril 2026,0,1,0%,7
taxa tr atual maio 2026 brasil,0,1,0%,7
tr taxa referencial abril 2026,0,1,0%,7
tr taxa referencial valor atual maio 2026,0,1,0%,7
cdi abril 2026 taxa anualizada,0,1,0%,8
"cdi hoje maio 2026 14,4% ao ano",0,1,0%,8
sgs 4390 taxa selic acumulada no mês,0,1,0%,8
taxa cdi anualizada hoje 2026,0,1,0%,8
taxa cdi atual abril 2026,0,1,0%,8
"b3 taxa cdi cetip 30/04/2026 14,40",0,1,0%,9
banco central cdi 2026 taxa,0,1,0%,9
banco central tr taxa referencial maio 2026,0,1,0%,9
bcb sgs 433 ipca variação mensal,0,1,0%,9
"cdi acumulado 2020 2,76%",0,1,0%,9
cdi current brazil 2026,0,1,0%,9
"cdi hoje 14,65% abril 2026",0,1,0%,9
"cdi hoje maio 2026 14,40%",0,1,0%,9
cdi mensal abril 2026,0,1,0%,9
cdi taxa atual 2026 brasil,0,1,0%,9
qual o cdi de abril 2026,0,1,0%,9
sim,0,1,0%,9
taxa referencial tr atual maio 2026 banco central,0,1,0%,9
tr acumulada 12 meses maio 2026 taxa referencial,0,1,0%,9
tr taxa referencial atual 2026 banco central,0,1,0%,9
índice de igpm de abril 2026,0,1,0%,9
bcb sgs série 433 ipca variação mensal,0,1,0%,10
cdi abril 2026 brasil taxa cdi abril 2026,0,1,0%,10
cdi abril 2026 taxa,0,1,0%,10
cdi acumulado 2026 taxa atual brasil maio 2026,0,1,0%,10
cdi acumulado últimos 6 meses 2026,0,1,0%,10
cdi hoje abril 2026,0,1,0%,10
"cdi hoje abril 2026 14,65% a.a.",0,1,0%,10
cdi selic atual maio 2026 brasil,0,1,0%,10
igp-m abril 2026,0,1,0%,10
inpc abril 2026 brasil,0,1,0%,10
principais indicadores econômicos brasil hoje,0,1,0%,10
rendimento cdi abril 2026,0,1,0%,10
sgs 433 ipca mensal,0,1,0%,10
"taxa cdi 10,65% ao ano fevereiro 2026",0,1,0%,10
taxa cdi anualizada abril 2026,0,1,0%,10
taxa cdi selic atual brasil maio 2026,0,1,0%,10
taxa referencial abril 2026 bcb,0,1,0%,10
tr taxa referencial hoje maio 2026 valor,0,1,0%,10
banco central sgs série 433 ipca variação mensal,0,1,0%,11
"brasilindicadores cdi 2026 14,9",0,1,0%,11
cdi 2026 15% ao ano,0,1,0%,11
cdi 2026 taxa anual abril 2026,0,1,0%,11
cdi abril 2026 taxa anual 2026,0,1,0%,11
cdi anual atual abril 2026 brasil,0,1,0%,11
cdi hoje abril 2026 brasil,0,1,0%,11
cdi hoje abril 2026 taxa cdi brasil,0,1,0%,11
"igp-m abril 2026 acumulado 12 meses 0,61%",0,1,0%,11
igpm mes de maio 2026,0,1,0%,11
indicadores econômicos brasil hoje,0,1,0%,11
"taxa cdi 2026 10,65% ao ano",0,1,0%,11
"taxa cdi anualizada abril 2026 14,65%",0,1,0%,11
taxa cdi atual 2026 brasil,0,1,0%,11
taxa referencial tr 2026 abril valor,0,1,0%,11
taxa referencial tr abril 2026 acumulada mês,0,1,0%,11
cdi acumulado taxa atual brasil 2026,0,1,0%,12
cdi anual atual brasil abril 2026,0,1,0%,12
cdi atual maio 2026 brasil,0,1,0%,12
cdi hoje taxa brasil 2026 cdi atual percentual,0,1,0%,12
historico incc ultimos 10 anos,0,1,0%,12
"taxa cdi hoje 2026 14,65",0,1,0%,12
"taxa cdi hoje abril 2026 14,65%",0,1,0%,12
"taxa cdi hoje abril 2026 14,7% ao ano",0,1,0%,12
taxa cdi hoje anualizada abril 2026,0,1,0%,12
igpm mes a mes 2026,0,1,0%,13
incc-di acumulado 12 meses,0,1,0%,13
inpc acumulado 2021,0,1,0%,13
ipa-di,0,1,0%,13
ipc fipe ultimos 12 meses,0,1,0%,13
ipc-m,0,1,0%,13
ipca mes abril 2026,0,1,0%,13
ipcm acumulado,0,1,0%,13
tabela igp-di acumulado,0,1,0%,13
variação do igpm,0,1,0%,15
imagem,0,1,0%,17
valor atual da tr,0,1,0%,19
cdi acumulado 36 meses,0,1,0%,24
cdi hoje grafico,0,1,0%,27
cdi ultimo ano,0,1,0%,29
indice igpm maio 2026,0,1,0%,30
inpc tabela 2026,0,1,0%,32
bcb cdi diario,0,1,0%,33
cdi maio 2026,0,1,0%,34
igp-di fgv,0,1,0%,35
igpm 2010,0,1,0%,36
fgv indices,0,1,0%,38
serie historica cdi,0,1,0%,38
igp-m atual,0,1,0%,39
selic 2014,0,1,0%,39
cdi hoje banco central,0,1,0%,40
ipca 2016,0,1,0%,40
tr acumulada 12 meses,0,1,0%,40
historico tr,0,1,0%,41
igp m hoje,0,1,0%,41
atualização cdi,0,1,0%,42
igp-di acumulado 2025,0,1,0%,43
igp-m ultimos 12 meses,0,1,0%,43
igpm ultimos 12 meses,0,1,0%,44
igpm ano,0,1,0%,45
acumulado selic,0,1,0%,46
igp m fgv tabela,0,1,0%,46
igpm 2018,0,1,0%,46
igpm jan,0,1,0%,46
igpm tabela,0,1,0%,46
